Machine,IP,OS,Reg_Date,Vendor,Model,Serial,Tag,Warranty_Expiration,Warranty_Extension,Ship_Date,CPU,Disk,RAM,NIC,UUID,Building,Room,Rack,Size,Function,Level,Priority,Service,Department,Contact,Authorized_Requesters,Solutionary,Backup,Chef_Org,Hosting_Type
aap-cei.oit.umn.edu,134.84.192.194,rhel-x86_64-server-6,2015-01-26,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 8a 7c 59 8c f8 34-03 ba ab ab 96 66 4a d5,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,55G,1998,eth0-00:50:56:a3:37:b0-134.84.192.194,42238a7c598cf83403baabab96664ad5,WBOB,VM,VM,VM,Drupal/Web server,Production,NA,Hosting,Academic Affairs and Provost,jkitt@umn.edu meyer150@umn.edu,jkitt meyer150,Yes,Yes,NA,NA
adi-meded.oit.umn.edu,134.84.231.179,rhel-x86_64-server-6,2012-04-25,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 30 db f5 a1 a2 ae 2b-d6 86 04 6a e4 d1 b3 58,NA,NA,NA,25 Apr 2012,Intel(R) Xeon(R) CPU           E5530  @ 2.40GHz,NA,1877,eth0-00:50:56:b0:72:52-134.84.231.179,4230dbf5a1a2ae2bd686046ae4d1b358,WBOB,NA,VM,NA,The ADI client software for the AMCAS database from AAMC (Association of American Medical Colleges) This software syncs the AMCAS database in Washington D.C. with the database server we have here at the University.,Production,3,Hosting,Medical Education,mituller@umn.edu sensk004@umn.edu,Jared Phelps  Barb Smith  Colby Reese,No,NA,NA,NA
admin-tram0004.oit.umn.edu,172.31.234.5,rhel-x86_64-server-7,2017-04-13,innotek GmbH,VirtualBox 1.2,0,NA,NA,NA,NA,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,NA,2000,NA,NA,UOffPL,NA,NA,NA,LPT Admin VM,Production,NA,LPT Admin VM,NA,tram0004@umn.edu,tram0004,NA,NA,NA,NA
ahc-casetool-prd-app.oit.umn.edu,128.101.122.142,rhel-x86_64-server-7,2017-05-31,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 31 58 5d 9f 06 1c-ab 46 2d b9 4e 59 e9 50,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,1831,NA,422331585d9f061cab462db94e59e950,WBOB,VM,VM,VM,node js case study,Production,3,Hosting,AHC,dunn0172@umn.edu,dunn0172,No,Yes,oit-hosting,Fully Managed
ahc-hobmt.oit.umn.edu,134.84.231.102,rhel-x86_64-server-6,2011-08-24,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 30 e3 20 00 91 a6 79-dd 5d ec d0 ce 1d d3 74,VM,VM,NA,VM,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,VM,1877,eth0-00:50:56:b0:00:9b-134.84.231.102,4230e3200091a679dd5decd0ce1dd374,WBOB,VM,VM,VM,dynamic web content,Test,2,Hosting,AHC,olek0010@umn.edu ahc-alrt@lists.ahc.umn.edu,olek0010 tsmiley reese007 kell,No,NA,NA,NA
ahchotel-dev.oit.umn.edu,192.168.175.131,rhel-x86_64-server-6,2011-10-06,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 02 54 87 3e 18 c9 84-f1 6b f6 32 26 b3 e6 a0,VM,VM,NA,VM,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,VM,1877,eth0-00:50:56:82:00:09-192.168.175.131,420254873e18c984f16bf63226b3e6a0,WBOB,VM,VM,VM,replacement dev webserver for AHC's existing hotel (spot.software),Development,3,Research Administration,OIT,swadm@umn.edu,lars3064 myer0244 ryan ejolsen ssb,No,NA,NA,NA
ahchotel-prd.oit.umn.edu,128.101.120.67,rhel-x86_64-server-6,2012-09-04,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 be 90 63 bf 80 ee-22 f8 c9 75 67 72 13 20,NA,NA,NA,6 Sept 2012,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,40GB,5853,eth0-00:50:56:a3:1c:c7-128.101.120.67,4223be9063bf80ee22f8c97567721320,WBOB,NA,VM,1VU,hotel for ahc applications (replacing prod env on spot/blaster),Production,1,Research Administration,OIT,swadm@umn.edu,lars3064 myer0244 ryan ejolsen ssb,No,NA,NA,NA
ahchotel-tst.oit.umn.edu,192.168.175.132,rhel-x86_64-server-6,2011-10-06,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 02 93 91 c3 d3 c9 c5-31 99 ea f2 6c a2 f4 cd,VM,VM,NA,VM,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,VM,1877,eth0-00:50:56:82:00:0a-192.168.175.132,42029391c3d3c9c53199eaf26ca2f4cd,WBOB,VM,VM,VM,replacement test webserver for AHC's existing hotel (spot.software),Test,3,Research Administration,OIT,swadm@umn.edu,lars3064 myer0244 ryan ejolsen ssb,No,NA,NA,NA
ahc-ltc.oit.umn.edu,134.84.192.104,rhel-x86_64-server-6,2013-09-06,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 4b 82 28 7b af a8-d1 54 f1 37 5b e7 53 fa,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,70G,1998,eth0-00:50:56:a3:1b:df-134.84.192.104,42234b82287bafa8d154f1375be753fa,WBOB,VM,VM,VM,Web Application,Test,3,Hosting,AHC,kell@umn.edu nrhuff@umn.edu nordi009@umn.edu tsmiley@umn.edu,kell nrhuff nordi009 tsmiley,Yes,No,NA,NA
ahc-mnpi.oit.umn.edu,134.84.231.130,rhel-x86_64-server-6,2011-12-07,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 30 00 df f2 11 91 ab-09 d9 c2 6c fb b0 c5 b1,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           E5530  @ 2.40GHz,VM,3833,eth0-00:50:56:b0:00:4e-134.84.231.130,423000dff21191ab09d9c26cfbb0c5b1,WBOB,VM,VM,NA,web/mysql for departmental sites,Production,2,Hosting,AHC,amun0130@umn.edu reese007@umn.edu,amun0130@umn.edu  reese007@umn.edu,No,NA,NA,NA
